source,target,seed,coop_acc,coop_log,safe_acc,safe_log,legacy_acc,legacy_log,safe_delta,legacy_delta,safe_minus_legacy,complete
caltech101,fgvc_aircraft,3,10.1,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,11.5,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,10.3,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,1.4000000000000004,0.20000000000000107,1.1999999999999993,True
caltech101,ucf101,1,47.0,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,47.0,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,47.6,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,0.0,0.6000000000000014,-0.6000000000000014,True
caltech101,ucf101,2,48.4,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,48.5,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,48.9,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,0.10000000000000142,0.5,-0.3999999999999986,True
caltech101,ucf101,3,47.9,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,51.8,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,49.2,third_party/CoOp_clean/output/xd/test/ucf101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,3.8999999999999986,1.3000000000000043,2.5999999999999943,True
caltech101,sun397,1,47.5,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,49.0,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,48.8,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,1.5,1.2999999999999972,0.20000000000000284,True
caltech101,sun397,2,48.8,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,49.4,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,49.5,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,0.6000000000000014,0.7000000000000028,-0.10000000000000142,True
caltech101,sun397,3,48.7,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,48.3,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,50.4,third_party/CoOp_clean/output/xd/test/sun397/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-0.4000000000000057,1.6999999999999957,-2.1000000000000014,True
food101,oxford_pets,1,57.2,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,46.4,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,47.3,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-10.800000000000004,-9.900000000000006,-0.8999999999999986,True
food101,oxford_pets,2,47.7,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,56.3,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,45.4,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,8.599999999999994,-2.3000000000000043,10.899999999999999,True
food101,oxford_pets,3,63.4,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,48.4,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,57.1,third_party/CoOp_clean/output/xd/test/oxford_pets/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-15.0,-6.299999999999997,-8.700000000000003,True
